adm0,adm1,adm2,year,pop
GUINEA,BOKÉ,BOFFA,2025,267000
GUINEA,BOKÉ,BOKE,2025,612981
GUINEA,BOKÉ,FRIA,2025,123155
GUINEA,BOKÉ,GAOUAL,2025,252573
GUINEA,BOKÉ,KOUNDARA,2025,173907
GUINEA, Conakry ,CONAKRY,2025,2166253
GUINEA, Conakry ,DIXINN,2025,23208
GUINEA, Conakry ,KALOUM,2025,7457
GUINEA, Conakry ,MATAM,2025,14269
GUINEA, Conakry ,MATOTO,2025,939400
GUINEA, Conakry ,RATOMA,2025,1182794
GUINEA,FARANAH,DàBOLA,2025,249282
GUINEA,FARANAH,DINGUIRAYE,2025,260677
GUINEA,FARANAH,FARANAH,2025,400042
GUINEA,FARANAH,KISSIDOUGOU,2025,363461
GUINEA,KANKAN,KANKAN,2025,677880
GUINEA,KANKAN,KEROUANE,2025,270861
GUINEA,KANKAN,KOUROUSSA,2025,384486
GUINEA,KANKAN,MANDIANA,2025,490788
GUINEA,KANKAN,SIGUIRI,2025,1128957
GUINEA,KINDIA,C0YAH,2025,497055
GUINEA,KINDIA,DUBREKA,2025,658046
GUINEA,KINDIA,FORECARIAH,2025,308939
GUINEA,KINDIA,KINDIA,2025,589126
GUINEA,KINDIA,TÉLIMELE,2025,354519
GUINEA,LABE,KOUBIA,2025,120443
GUINEA,LABE,LABE,2025,410164
GUINEA,LABE,LELOUMA,2025,206491
GUINEA,LABE,MALI,2025,378023
GUINEA,LABE,TOUGUE,2025,149559
GUINEA,MAMOU,DALABA,2025,155374
GUINEA,MAMOU,MAMOU,2025,413152
GUINEA,MAMOU,PITA,2025,344034
GUINEA,N'zerekore,BEYLA,2025,476999
GUINEA,N'zerekore,GUECKEDOU,2025,306478
GUINEA,N'zerekore,LOLA,2025,218330
GUINEA,N'zerekore,MACÉNTA,2025,326079
GUINEA,N'zerekore,N'ZEREKORE,2025,526817
GUINEA,N'zerekore,YOMOU,2025,121009
