adm0,adm1,adm2,pop,mean_rainfall_mm,total_rainfall_mm,geometry
GUINEA,CONAKRY,DIXINN,23208,,,"MULTIPOLYGON (((-13.656593 9.567741, -13.656804 9.567895, -13.657963 9.568083, -13.659031 9.568335, -13.659818 9.568367, -13.660355 9.56872, -13.660774 9.56892, -13.661568 9.569428, -13.662454 9.569915, -13.663047 9.569995, -13.665088 9.57026, -13.665812 9.570355, -13.666478 9.569181, -13.665949 9.567111, -13.66642 9.567011, -13.666506 9.565263, -13.665949 9.565269, -13.665764 9.564613, -13.666363 9.561429, -13.665992 9.561258, -13.66742 9.560058, -13.671674 9.558574, -13.671755 9.55848, -13.672303 9.557845, -13.673051 9.557872, -13.672524 9.557395, -13.672374 9.55726, -13.670457 9.557589, -13.669933 9.556932, -13.670118 9.555875, -13.670689 9.555832, -13.671717 9.55429, -13.672974 9.553648, -13.673767 9.554262, -13.674101 9.553691, -13.675343 9.553244, -13.675244 9.552177, -13.675715 9.552049, -13.675972 9.553034, -13.67787 9.552092, -13.67877 9.551121, -13.678756 9.550479, -13.679418 9.549946, -13.679127 9.549194, -13.679584 9.547109, -13.680823 9.54637, -13.681654 9.544696, -13.683568 9.543504, -13.683596 9.542826, -13.684876 9.54101, -13.685123 9.540157, -13.685578 9.540129, -13.686465 9.538857, -13.687222 9.538729, -13.688342 9.537459, -13.68865 9.536759, -13.688078 9.536302, -13.688592 9.535816, -13.689149 9.536002, -13.689706 9.535445, -13.691562 9.532019, -13.691776 9.531327, -13.691588 9.530622, -13.692162 9.529249, -13.693247 9.530163, -13.693718 9.52972, -13.69653 9.529035, -13.696175 9.527893, -13.69208 9.525603, -13.690821 9.524563, -13.690533 9.524329, -13.690363 9.52419, -13.690153 9.52402, -13.690129 9.523997, -13.690043 9.523918, -13.689996 9.523654, -13.68972 9.523732, -13.689219 9.524268, -13.686724 9.527525, -13.682066 9.533113, -13.680634 9.534782, -13.677636 9.538444, -13.675364 9.541163, -13.674452 9.542017, -13.673257 9.542565, -13.671027 9.543423, -13.669555 9.544032, -13.665621 9.545388, -13.663803 9.546036, -13.663183 9.546309, -13.662405 9.546883, -13.659296 9.549289, -13.656188 9.551759, -13.654473 9.553122, -13.653514 9.553975, -13.652146 9.555278, -13.651532 9.556005, -13.650649 9.557249, -13.649315 9.559288, -13.64746 9.561824, -13.646898 9.562811, -13.646858 9.563243, -13.642535 9.566435, -13.644091 9.566866, -13.646012 9.566955, -13.646615 9.567071, -13.64859 9.567682, -13.649894 9.568218, -13.650549 9.568724, -13.652168 9.568766, -13.652267 9.5692, -13.652593 9.569313, -13.653372 9.568847, -13.654795 9.568129, -13.654925 9.567503, -13.655223 9.567377, -13.657295 9.56669, -13.65689 9.567485, -13.656593 9.567741)))"
GUINEA,CONAKRY,KALOUM,7457,,,"MULTIPOLYGON (((-13.7901 9.469727, -13.798889 9.467529, -13.803528 9.463684, -13.80481 9.45752, -13.801819 9.456909, -13.798828 9.45813, -13.79602 9.456909, -13.792603 9.462891, -13.787476 9.462524, -13.786804 9.465881, -13.7901 9.469727)), ((-13.753296 9.442688, -13.75061 9.447082, -13.745606 9.460083, -13.747192 9.466126, -13.746094 9.47168, -13.74762 9.478272, -13.755676 9.484314, -13.76001 9.502686, -13.764282 9.505493, -13.769592 9.504883, -13.772583 9.500122, -13.77179 9.496277, -13.76471 9.488281, -13.760986 9.478516, -13.757324 9.474121, -13.755615 9.468079, -13.755798 9.464905, -13.756592 9.450073, -13.759827 9.444275, -13.756592 9.441101, -13.756564 9.441114, -13.753296 9.442688)), ((-13.831177 9.455078, -13.833618 9.463318, -13.831299 9.47052, -13.824707 9.479675, -13.816787 9.484501, -13.815491 9.48529, -13.80542 9.500305, -13.799194 9.506287, -13.793884 9.508301, -13.795288 9.512085, -13.806824 9.514526, -13.811584 9.511902, -13.815002 9.511292, -13.819092 9.50531, -13.824829 9.492127, -13.830994 9.489319, -13.834412 9.484497, -13.838623 9.481873, -13.843811 9.466919, -13.841003 9.461487, -13.840881 9.457092, -13.838013 9.454529, -13.833618 9.449707, -13.833604 9.449738, -13.831177 9.455078)), ((-13.716956 9.528865, -13.720572 9.523504, -13.722732 9.5242, -13.722123 9.526429, -13.726047 9.513469, -13.727969 9.509676, -13.726136 9.513013, -13.722751 9.524131, -13.720607 9.523316, -13.716941 9.52879, -13.714024 9.528708, -13.711274 9.527986, -13.707805 9.526095, -13.705618 9.523759, -13.705003 9.522658, -13.704472 9.52055, -13.704289 9.519825, -13.704513 9.518696, -13.708854 9.51656, -13.710247 9.516308, -13.710188 9.51668, -13.710724 9.516579, -13.711379 9.517626, -13.711751 9.518219, -13.712775 9.520582, -13.712475 9.521408, -13.712778 9.521655, -13.714829 9.519814, -13.713797 9.518558, -13.713633 9.517442, -13.713625 9.517389, -13.714294 9.517273, -13.714315 9.517387, -13.714426 9.517993, -13.714413 9.517379, -13.71441 9.517232, -13.715198 9.517092, -13.715265 9.51731, -13.71561 9.518427, -13.716006 9.518758, -13.717855 9.517099, -13.719232 9.515863, -13.722232 9.51114, -13.720233 9.509864, -13.720795 9.506995, -13.718824 9.505449, -13.718642 9.504318, -13.717915 9.504169, -13.716801 9.50474, -13.715381 9.504101, -13.714492 9.50408, -13.714514 9.503463, -13.715411 9.502771, -13.714973 9.502087, -13.714702 9.501665, -13.715102 9.501539, -13.715129 9.500776, -13.71376 9.500885, -13.713253 9.502634, -13.711784 9.503437, -13.709731 9.503115, -13.709082 9.503557, -13.709044 9.502455, -13.709015 9.503469, -13.70817 9.503485, -13.706614 9.504254, -13.703733 9.506434, -13.703147 9.5073, -13.703338 9.507875, -13.703822 9.50933, -13.703416 9.509729, -13.702522 9.509865, -13.702493 9.509591, -13.702363 9.509585, -13.702024 9.50957, -13.702066 9.510186, -13.702079 9.510369, -13.701926 9.51047, -13.700768 9.511235, -13.696268 9.511569, -13.696321 9.51233, -13.697443 9.514274, -13.697231 9.515035, -13.696762 9.515588, -13.696762 9.515588, -13.695445 9.517139, -13.694096 9.517339, -13.693318 9.517846, -13.691698 9.519888, -13.689611 9.520267, -13.689378 9.520309, -13.689212 9.520528, -13.689212 9.520527, -13.688482 9.521491, -13.688141 9.521228, -13.687764 9.520937, -13.686883 9.521992, -13.686933 9.522018, -13.687222 9.52217, -13.687655 9.522449, -13.687991 9.522667, -13.688345 9.522894, -13.688655 9.523095, -13.689 9.5234, -13.689398 9.523618, -13.68972 9.523732, -13.689996 9.523654, -13.690043 9.523918, -13.690129 9.523997, -13.690153 9.52402, -13.690363 9.52419, -13.690533 9.524329, -13.690821 9.524563, -13.69208 9.525603, -13.696175 9.527893, -13.695531 9.525823, -13.697016 9.52331, -13.697069 9.521561, -13.701666 9.519914, -13.701682 9.520628, -13.701813 9.520318, -13.702497 9.520533, -13.702729 9.521552, -13.702753 9.521657, -13.703193 9.521585, -13.703746 9.52246, -13.704792 9.522158, -13.704621 9.522894, -13.704942 9.523453, -13.705267 9.523365, -13.706477 9.52525, -13.7089 9.526909, -13.711204 9.528178, -13.712834 9.528531, -13.714044 9.528875, -13.716956 9.528865)))"
GUINEA,CONAKRY,MATAM,14269,,,"POLYGON ((-13.636591 9.560459, -13.680419 9.526762, -13.681454 9.526491, -13.681172 9.525788, -13.681147 9.525727, -13.682046 9.524621, -13.68164 9.523628, -13.682246 9.524521, -13.683699 9.524134, -13.683699 9.524134, -13.685489 9.523658, -13.686772 9.522124, -13.68678 9.522115, -13.686883 9.521992, -13.686933 9.522018, -13.687222 9.52217, -13.687655 9.522449, -13.687991 9.522667, -13.688345 9.522894, -13.688655 9.523095, -13.689 9.5234, -13.689398 9.523618, -13.68972 9.523732, -13.689219 9.524268, -13.686724 9.527525, -13.682066 9.533113, -13.680634 9.534782, -13.677636 9.538444, -13.675364 9.541163, -13.674452 9.542017, -13.673257 9.542565, -13.671027 9.543423, -13.669555 9.544032, -13.665621 9.545388, -13.663803 9.546036, -13.663183 9.546309, -13.662405 9.546883, -13.659296 9.549289, -13.656188 9.551759, -13.654473 9.553122, -13.653514 9.553975, -13.652146 9.555278, -13.651532 9.556005, -13.650649 9.557249, -13.649315 9.559288, -13.64746 9.561824, -13.645117 9.560397, -13.644243 9.559879, -13.643931 9.559308, -13.643411 9.559301, -13.643073 9.559905, -13.642297 9.560158, -13.642196 9.562062, -13.640893 9.563261, -13.640226 9.563597, -13.639984 9.563331, -13.639824 9.562802, -13.639904 9.562316, -13.639965 9.562094, -13.639855 9.561951, -13.639483 9.561703, -13.638658 9.56155, -13.637832 9.561357, -13.637288 9.561209, -13.636937 9.56092, -13.636591 9.560459))"
GUINEA,CONAKRY,MATOTO,939400,251.6615966796875,1258.3079833984375,"MULTIPOLYGON (((-13.46494 9.65372, -13.48848 9.67301, -13.49487 9.67806, -13.49979 9.6887, -13.499735 9.689076, -13.501667 9.688399, -13.5046 9.686731, -13.50742 9.685841, -13.512046 9.684507, -13.516332 9.682282, -13.520394 9.679836, -13.524117 9.676722, -13.528629 9.673385, -13.53506 9.670605, -13.538444 9.668937, -13.543408 9.666712, -13.548146 9.664043, -13.551417 9.661708, -13.554012 9.659817, -13.557509 9.656702, -13.560555 9.6547, -13.564278 9.652476, -13.566309 9.650808, -13.569267 9.64879, -13.57014 9.648331, -13.572676 9.646952, -13.574424 9.646072, -13.574798 9.645842, -13.575125 9.645297, -13.576352 9.643313, -13.577541 9.641525, -13.577405 9.640856, -13.57697 9.639753, -13.576288 9.639039, -13.575319 9.638634, -13.574604 9.638507, -13.573726 9.638614, -13.573178 9.638411, -13.571787 9.637883, -13.570983 9.637363, -13.570765 9.636772, -13.570576 9.635358, -13.570815 9.634538, -13.5713 9.633328, -13.572085 9.632554, -13.573614 9.631123, -13.574978 9.629847, -13.576837 9.628106, -13.578489 9.626441, -13.579737 9.625246, -13.580307 9.6247, -13.581464 9.623656, -13.582835 9.622811, -13.586908 9.620589, -13.590899 9.618406, -13.593685 9.616991, -13.597051 9.615112, -13.599504 9.613772, -13.600041 9.613229, -13.601068 9.611909, -13.602095 9.61051, -13.603032 9.608679, -13.604257 9.606578, -13.605279 9.604826, -13.606302 9.603193, -13.606745 9.601983, -13.607596 9.599955, -13.607951 9.598509, -13.60801 9.596863, -13.608105 9.594786, -13.608525 9.592047, -13.608997 9.589975, -13.609648 9.588689, -13.61092 9.586862, -13.612364 9.585313, -13.613938 9.584078, -13.615561 9.583354, -13.618727 9.582101, -13.622814 9.580741, -13.626068 9.579764, -13.629701 9.578908, -13.630367 9.578603, -13.631356 9.577479, -13.634608 9.5736, -13.636709 9.571155, -13.637576 9.570304, -13.642007 9.566752, -13.642535 9.566435, -13.646858 9.563243, -13.646898 9.562811, -13.64746 9.561824, -13.645117 9.560397, -13.644243 9.559879, -13.643931 9.559308, -13.643411 9.559301, -13.643073 9.559905, -13.642297 9.560158, -13.642196 9.562062, -13.640893 9.563261, -13.640226 9.563597, -13.639984 9.563331, -13.639824 9.562802, -13.639904 9.562316, -13.639965 9.562094, -13.639855 9.561951, -13.639483 9.561703, -13.638658 9.56155, -13.637832 9.561357, -13.637288 9.561209, -13.636937 9.56092, -13.636591 9.560459, -13.633377 9.561619, -13.633063 9.561583, -13.632113 9.56002, -13.630543 9.559477, -13.629351 9.559806, -13.629206 9.55947, -13.627224 9.558842, -13.625882 9.559734, -13.625755 9.559749, -13.624768 9.559863, -13.624197 9.560512, -13.624652 9.561339, -13.624904 9.561797, -13.62479 9.562361, -13.623933 9.563289, -13.622698 9.563154, -13.620935 9.564139, -13.618879 9.563882, -13.617499 9.564853, -13.616809 9.565338, -13.616658 9.56561, -13.616381 9.566109, -13.614853 9.56593, -13.613839 9.566473, -13.614039 9.567565, -13.613033 9.568807, -13.61304 9.570378, -13.612654 9.57052, -13.61264 9.57102, -13.611734 9.571498, -13.611234 9.570899, -13.610414 9.570683, -13.609264 9.573247, -13.607607 9.573347, -13.601582 9.572131, -13.59837 9.571341, -13.596686 9.570699, -13.596335 9.570176, -13.595371 9.570148, -13.595387 9.570485, -13.592217 9.573611, -13.59216 9.574125, -13.593188 9.574782, -13.594083 9.576035, -13.593592 9.577824, -13.592803 9.577837, -13.592431 9.577452, -13.592675 9.576383, -13.592417 9.57601, -13.590975 9.57611, -13.58988 9.577026, -13.586121 9.578465, -13.583565 9.578351, -13.580771 9.582743, -13.578975 9.583923, -13.578482 9.584682, -13.576138 9.585451, -13.573673 9.586884, -13.572507 9.586846, -13.572088 9.586427, -13.572059 9.585789, -13.572996 9.584699, -13.572634 9.584514, -13.569303 9.586415, -13.566319 9.586979, -13.564528 9.585908, -13.561883 9.583593, -13.558942 9.583817, -13.557146 9.58503, -13.555041 9.588892, -13.554855 9.590626, -13.555333 9.593282, -13.555276 9.594581, -13.554948 9.594688, -13.553328 9.594381, -13.552899 9.59396, -13.552992 9.592975, -13.552328 9.590427, -13.553377 9.586472, -13.555662 9.582189, -13.558781 9.580169, -13.563564 9.579041, -13.565106 9.579755, -13.568149 9.583008, -13.570617 9.581646, -13.573429 9.580904, -13.57627 9.580597, -13.57697 9.577499, -13.574728 9.572995, -13.573208 9.572424, -13.567119 9.571317, -13.563314 9.56974, -13.560039 9.56615, -13.558266 9.565031, -13.557895 9.564345, -13.558038 9.562782, -13.557724 9.561761, -13.556582 9.559877, -13.550792 9.555451, -13.549238 9.55382, -13.549143 9.552974, -13.549664 9.552431, -13.549772 9.550982, -13.550685 9.550911, -13.551264 9.551268, -13.55212 9.553017, -13.557955 9.556939, -13.559177 9.558087, -13.562042 9.562782, -13.56307 9.563874, -13.565904 9.565202, -13.568453 9.566937, -13.574933 9.569291, -13.578232 9.571491, -13.580652 9.573968, -13.582301 9.573747, -13.583108 9.573018, -13.586256 9.571862, -13.585592 9.571612, -13.584914 9.570206, -13.584557 9.568564, -13.584992 9.568286, -13.585264 9.567351, -13.584914 9.566515, -13.5844 9.566451, -13.584129 9.565466, -13.584999 9.564931, -13.584942 9.563953, -13.584471 9.563082, -13.585285 9.562182, -13.585292 9.561083, -13.586077 9.560276, -13.586813 9.560276, -13.587969 9.559634, -13.587227 9.559548, -13.587398 9.558528, -13.586848 9.557885, -13.587312 9.557507, -13.588297 9.557378, -13.587719 9.554951, -13.586573 9.551453, -13.583886 9.545957, -13.583365 9.543765, -13.582449 9.542216, -13.580207 9.540739, -13.579529 9.53987, -13.576287 9.534862, -13.564415 9.518888, -13.562873 9.516345, -13.561598 9.514648, -13.558219 9.511659, -13.556001 9.508528, -13.555563 9.507348, -13.554345 9.505996, -13.552774 9.504921, -13.551499 9.504711, -13.549248 9.503062, -13.54855 9.502951, -13.547673 9.501856, -13.544351 9.500266, -13.542857 9.500048, -13.541896 9.4994, -13.538517 9.499134, -13.53747 9.499362, -13.535462 9.498991, -13.533499 9.498249, -13.530145 9.497508, -13.528675 9.497183, -13.526772 9.496488, -13.52622 9.495841, -13.523393 9.496878, -13.522222 9.497706, -13.518539 9.50216, -13.517282 9.504045, -13.516713 9.505256, -13.516724 9.505925, -13.515373 9.507217, -13.515262 9.50802, -13.514322 9.509042, -13.511934 9.513224, -13.50982 9.516104, -13.509534 9.516844, -13.509268 9.517532, -13.503367 9.525565, -13.499808 9.532008, -13.493992 9.544838, -13.493947 9.54492, -13.4958 9.55038, -13.49952 9.55158, -13.50298 9.57459, -13.49048 9.60026, -13.47438 9.61861, -13.46627 9.62433, -13.46029 9.63656, -13.46002 9.64734, -13.46494 9.65372)))"
GUINEA,CONAKRY,RATOMA,1182794,236.18255615234375,944.730224609375,"MULTIPOLYGON (((-13.564862 9.751702, -13.566527 9.759555, -13.56755 9.761411, -13.569084 9.761516, -13.577116 9.758603, -13.586824 9.753439, -13.588817 9.752044, -13.592773 9.749275, -13.598531 9.743612, -13.602528 9.740781, -13.603056 9.739421, -13.600625 9.736141, -13.597284 9.733768, -13.592011 9.732405, -13.591488 9.731953, -13.591321 9.73112, -13.592035 9.730692, -13.59608 9.73112, -13.598817 9.732048, -13.602362 9.735118, -13.603813 9.735641, -13.605027 9.735522, -13.606074 9.736212, -13.607986 9.736456, -13.61 9.736712, -13.612213 9.737759, -13.613188 9.737426, -13.61464 9.735498, -13.615568 9.733048, -13.615663 9.729574, -13.616567 9.728741, -13.617091 9.726837, -13.617121 9.726572, -13.61759 9.722435, -13.617995 9.721388, -13.617709 9.719675, -13.618899 9.718295, -13.621326 9.704351, -13.621945 9.698807, -13.622159 9.691811, -13.622278 9.691264, -13.623372 9.690526, -13.624253 9.688956, -13.624324 9.688433, -13.623777 9.687433, -13.624039 9.686458, -13.622564 9.684245, -13.623372 9.682484, -13.623039 9.680224, -13.623325 9.678082, -13.622992 9.676036, -13.623372 9.674608, -13.624277 9.673014, -13.624086 9.670539, -13.624967 9.669397, -13.624729 9.668921, -13.625014 9.668346, -13.626038 9.66628, -13.626323 9.664781, -13.627037 9.663306, -13.626456 9.662622, -13.625966 9.662044, -13.626344 9.661515, -13.625966 9.660997, -13.626397 9.656815, -13.625633 9.654787, -13.62649 9.652622, -13.626442 9.651004, -13.627108 9.650361, -13.627061 9.649885, -13.625609 9.643556, -13.625205 9.64308, -13.624967 9.641819, -13.62392 9.640415, -13.623729 9.639368, -13.625029 9.638289, -13.62689 9.635724, -13.624209 9.634806, -13.62856 9.63361, -13.629613 9.632983, -13.631344 9.630873, -13.633142 9.629823, -13.63417 9.628045, -13.634192 9.628007, -13.634806 9.626944, -13.635234 9.626895, -13.636568 9.626741, -13.636954 9.625863, -13.636708 9.625321, -13.636388 9.624615, -13.636626 9.624354, -13.637126 9.624354, -13.637428 9.624553, -13.638744 9.625424, -13.639219 9.625196, -13.640725 9.622442, -13.64098 9.621974, -13.642302 9.62085, -13.643282 9.62065, -13.64371 9.619917, -13.645404 9.61847, -13.645216 9.618061, -13.64312 9.617623, -13.642206 9.616491, -13.642397 9.615777, -13.645024 9.616557, -13.645528 9.616205, -13.64593 9.616405, -13.646823 9.615415, -13.647724 9.615353, -13.648267 9.614866, -13.6479 9.614386, -13.647917 9.61316, -13.648774 9.612674, -13.64903 9.612822, -13.649897 9.611846, -13.650259 9.609695, -13.651738 9.609638, -13.651738 9.609638, -13.652257 9.609618, -13.653914 9.60901, -13.654385 9.608461, -13.655175 9.605611, -13.655265 9.605288, -13.656978 9.603537, -13.656731 9.602147, -13.657232 9.601769, -13.657116 9.601091, -13.65761 9.600056, -13.657283 9.599437, -13.656759 9.599752, -13.656254 9.59952, -13.655784 9.598676, -13.656759 9.598497, -13.657241 9.598081, -13.657342 9.59723, -13.656956 9.596731, -13.65695 9.595761, -13.657872 9.595708, -13.658011 9.595179, -13.657512 9.594151, -13.657826 9.592652, -13.657595 9.590239, -13.657969 9.58974, -13.658268 9.589725, -13.658297 9.590068, -13.659029 9.589775, -13.659768 9.587855, -13.660973 9.587542, -13.661638 9.586485, -13.663078 9.585927, -13.663078 9.585927, -13.664574 9.585347, -13.665788 9.584067, -13.66637 9.582948, -13.666363 9.581331, -13.66634 9.581279, -13.665921 9.580331, -13.666193 9.573768, -13.665064 9.573536, -13.664365 9.572907, -13.665812 9.570355, -13.665088 9.57026, -13.663047 9.569995, -13.662454 9.569915, -13.661568 9.569428, -13.660774 9.56892, -13.660355 9.56872, -13.659818 9.568367, -13.659031 9.568335, -13.657963 9.568083, -13.656804 9.567895, -13.656593 9.567741, -13.65689 9.567485, -13.657295 9.56669, -13.655223 9.567377, -13.654925 9.567503, -13.654795 9.568129, -13.653372 9.568847, -13.652593 9.569313, -13.652267 9.5692, -13.652168 9.568766, -13.650549 9.568724, -13.649894 9.568218, -13.64859 9.567682, -13.646615 9.567071, -13.646012 9.566955, -13.644091 9.566866, -13.642535 9.566435, -13.642007 9.566752, -13.637576 9.570304, -13.636709 9.571155, -13.634608 9.5736, -13.631356 9.577479, -13.630367 9.578603, -13.629701 9.578908, -13.626068 9.579764, -13.622814 9.580741, -13.618727 9.582101, -13.615561 9.583354, -13.613938 9.584078, -13.612364 9.585313, -13.61092 9.586862, -13.609648 9.588689, -13.608997 9.589975, -13.608525 9.592047, -13.608105 9.594786, -13.60801 9.596863, -13.607951 9.598509, -13.607596 9.599955, -13.606745 9.601983, -13.606302 9.603193, -13.605279 9.604826, -13.604257 9.606578, -13.603032 9.608679, -13.602095 9.61051, -13.601068 9.611909, -13.600041 9.613229, -13.599504 9.613772, -13.597051 9.615112, -13.593685 9.616991, -13.590899 9.618406, -13.586908 9.620589, -13.582835 9.622811, -13.581464 9.623656, -13.580307 9.6247, -13.579737 9.625246, -13.578489 9.626441, -13.576837 9.628106, -13.574978 9.629847, -13.573614 9.631123, -13.572085 9.632554, -13.5713 9.633328, -13.570815 9.634538, -13.570576 9.635358, -13.570765 9.636772, -13.570983 9.637363, -13.571787 9.637883, -13.573178 9.638411, -13.573726 9.638614, -13.574604 9.638507, -13.575319 9.638634, -13.576288 9.639039, -13.57697 9.639753, -13.577405 9.640856, -13.577541 9.641525, -13.576352 9.643313, -13.575125 9.645297, -13.574798 9.645842, -13.574424 9.646072, -13.572676 9.646952, -13.57014 9.648331, -13.569267 9.64879, -13.566309 9.650808, -13.564278 9.652476, -13.560555 9.6547, -13.557509 9.656702, -13.554012 9.659817, -13.551417 9.661708, -13.548146 9.664043, -13.543408 9.666712, -13.538444 9.668937, -13.53506 9.670605, -13.528629 9.673385, -13.524117 9.676722, -13.520394 9.679836, -13.516332 9.682282, -13.512046 9.684507, -13.50742 9.685841, -13.5046 9.686731, -13.501667 9.688399, -13.499735 9.689076, -13.49886 9.69548, -13.47931 9.71769, -13.47518 9.72195, -13.47505 9.73286, -13.47744 9.74323, -13.50152 9.73698, -13.53703 9.74257, -13.54767 9.74004, -13.561159 9.74923, -13.562894 9.747916, -13.563668 9.747944, -13.564862 9.751702)))"
